GHGRP ID,Landfill ID,Facility.Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
,36,Acme LF,CA,,950 Waterbird Way,Martinez,Contra Costa,94553,38.034,-122.09056,No,Private,Acme Fill Corporation,Acme Fill Corporation,1954,2003,Closed,516,,80,,,"10,800,000",2002,"19,210",,Unknown,Not used,No,,Yes,1.8,,50,Yes,,,,Usually flares 24/7.
,37,Aerojet Liquid Rocket Company LF,CA,Aerojet Class III Solid Waste LF,,Rancho Cordova,Sacramento,95670,38.58333,-121.3,No,Private,Aerojet,Aerojet,,,Unknown,,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,
1004335,349,All Purpose Landfill,CA,Santa Clara County LF; City of Santa Clara LF,5401 Lafayette Street,Santa Clara,Santa Clara,95054,37.41639,-121.97056,No,Public,"City of Santa Clara, CA","City of Santa Clara, CA",1962,1996,Closed,,210,50,,"5,501,512","5,501,512",1996,"18,742",1996,No,Not used,No,1.21,Yes,0.364,2017,40.2,Yes,1,,,"2012-75 wells, system capacity=1300 acfm."
1006197,179,Allied Imperial Landfill,CA,Republic Imperial Landfill; MALS Properties,104 East Robinson Road,Imperial,Imperial,92251,32.858,-115.526,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1971,2072,Open,162,,,,"13,952,388","4,487,015",2017,"131,348",2017,No,Not used,No,,Yes,0.197,2017,33.4,Yes,,0.197,2017,
1007699,39,Altamont Landfill & Resource Recovery Facility,CA,,10840 Altamont Pass Road,Livermore,Alameda,94551,37.75,-121.65667,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1980,2061,Open,426,237.3,300,175,"131,022,425","60,362,396",2017,"1,610,635",2017,Yes,Several times per year,No,11,Yes,8.33,2012,51.5,Yes,2,,,"9/10-158 wells over 230 acres, system installed in 1988, 2 enclosed flares.; 2012-127 wells, system capacity=13604 acfm."
,40,Alturas SLF,CA,,"Alturas Dump Road
off Westside Road",Alturas,Modoc,96101,41.45861,-120.56556,No,Public,"Modoc County, CA","Modoc County, CA",,2028,Open,27.5,,,,,"33,872",,0,2004,Unknown,Not used,No,,No,,,,No,,,,
,41,Amador County SLF,CA,,6500 Buena Vista Road,Ione,Amador,95640,38.30315,-120.91147,No,Public,"Amador County, CA",Amador Disposal Service Inc,,2004,Closed,114,,,,,"1,013,553",,430,2004,Unknown,Not used,No,,Yes,0.27,2013,,Yes,,0.27,2013,
1004417,42,American Avenue Landfill,CA,,18950 West American Avenue,Kerman,Fresno,93630,36.66171,-120.1457,No,Public,"Fresno County, CA","Fresno County, CA",1971,2044,Open,367,246,,100,"26,838,800","13,681,189",2017,"529,878",2017,Yes,Several times per year,No,3,Yes,2.216,2017,47.3,Yes,1,2.216,2017,"2010-64 wells, system capacity=1700 acfm."
1004465,44,American Canyon SLF,CA,,End of Eucalyptus Drive,American Canyon,Napa,94503,38.18056,-122.27556,No,Public,Napa-Vallejo Waste Management Authority,Napa-Vallejo Waste Management Authority,1966,1995,Closed,,103.3,60,,"4,830,052","4,830,026",1995,"154,826",1995,No,Not used,No,1.29,Yes,0.369,2017,50.4,Yes,,0.369,2017,"2012-78 wells, system capacity=800 acfm."
1007839,45,Anderson Landfill,CA,Anderson Solid Waste Disposal Site,18703 Cambridge Road,Anderson,Shasta,96007,40.45,-122.283334,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1977,2103,Open,165,76.2,,,"16,367,311","3,670,394",2017,"140,257",2017,No,Not used,No,1.18,Yes,0.985,2017,49.7,Yes,,0.985,2017,"2012-36 wells, system capacity=1500 scfm."
,46,Annapolis LF,CA,,,Annapolis,Sonoma,95412,38.716667,-123.366667,No,Public,"Sonoma County, CA","Sonoma County, CA",,1995,Closed,4,,,,,"45,289",,"2,646",1994,Unknown,Not used,No,,No,,,,No,,,,
1007710,47,Antelope Valley Recycling and Disposal Facility,CA,,1200 W. City Ranch Road,Palmdale,Los Angeles,93551,34.56768,-118.14994,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1958,2041,Open,123,82.7,,147,"23,693,955","8,719,159",2017,"611,361",2017,No,Not used,No,1.61,Yes,1.211,2017,39.9,Yes,1,1.211,2017,"1/03-One flare being designed for 2,200 scfm, but will flare 850 scfm to start in 2003.; 9/10-42 wells over 57 acres, system installed in 2005, 1 enclosed flare.; 2012-44 wells, system capacity=2200 scfm."
,48,Anza Disposal Site,CA,,,Anza,Riverside,92539,33.55,-116.666667,No,Public,"Riverside County, CA","Riverside County, CA",,1999,Closed,40,,,,,"381,600",,814,1998,Unknown,Not used,No,,No,,,,No,,,,
,49,Apple Valley Disposal Site,CA,,Yucca Loma Road,Apple Valley,San Bernardino,92307,34.5,-117.11,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1964,1997,Closed,38,,,50,"813,000","609,750",,,,Unknown,Not used,No,,No,,,,No,,,,
,1942,Arizona Street LF,CA,,,San Diego,San Diego,,,,No,Public,"City of San Diego, CA","City of San Diego, CA",1952,1974,Closed,68,,,,,"1,940,000",1974,,,Unknown,Not used,No,,Yes,0.43,2012,33,Yes,1,,,3/09-74 wells installed ~1990.; 9/12-79 gas extraction wells.
1002689,50,Arvin SLF,CA,,5500 North Wheeler Ridge Road,Arvin,Kern,93203,35.1905,-118.9145,Yes,Public,"Kern County, CA","Kern County, CA",1971,2003,Closed,142,126.8,50,50,"4,171,392","4,171,392",,"71,250",2002,Unknown,Not used,No,0.925,Yes,0.402,2012,34.4,Yes,1,0.402,2012,"9/10-18 wells, gas collection began in 2001, 1 open flare.; 2012-17 wells, system capacity=600 acfm."
,351,Ascon & Desser Landfills,CA,Ascon LF,,Wilmington,Los Angeles,,33.798068,-118.238409,No,Private,Desser; Watson Energy Systems,,1964,1978,Closed,62,,100,,,"3,600,000",,0,,Unknown,Not used,No,,Yes,1,,50,Yes,,,,
,51,Austin Road Landfill,CA,,9999 South Austin Road,Manteca,San Joaquin,95336,37.7795,-121.1767,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1954,2020,Open,355,,35,35,"30,624,000","7,354,000",2002,"1,232,753",2004,Unknown,Not used,No,,Yes,0.5,,50,Yes,,0,,9/18-Had 18 vertical extraction wells with 3 horizontal collectors.
1003328,52,Avenal Regional Landfill,CA,,"201 North Hydril Road
1200 Skyline Boulevard",Avenal,Kings,93204,36.01195,-120.11535,No,Public,"City of Avenal, CA","Waste Connections, Inc.",1976,2108,Open,123.2,56.2,,,"20,803,561","15,600,000",2006,"110,193",2017,Yes,Several times per year,No,1.2,Yes,0.833,2017,41.6,Yes,,0.833,2017,
1007682,53,"Azusa Land Reclamation Company, Inc.",CA,,1211 W. Gladstone Street,Azusa,Los Angeles,91702,34.1159,-117.929,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1968,1991,Closed,302,135.5,180,,"18,420,000","7,900,000",,0,,No,Not used,No,5.67,Yes,2.233,2017,27.7,Yes,4,2.233,2017,"1/03-One McGill flare, three Hirt flares.; 2012-159 wells, system capacity=4000 scfm."
1000046,55,Badlands SLF,CA,,31125 Ironwood Avenue,Moreno Valley,Riverside,92555,33.95349,-117.11758,No,Public,"Riverside County, CA","Riverside County, CA",1966,2040,Open,141,109.6,,140,"24,255,000","13,602,369",2017,"846,914",2017,No,Not used,No,2.95,Yes,1.899,2017,46.6,Yes,,,,"2012-75 wells, system capacity=1250 acfm."
,57,Baker Refuse Disposal Site,CA,,72799 Soda Baker Road,Baker,San Bernardino,92309,35.233,-116.061,No,Public,"San Bernardino County, CA",Recology,1963,1997,Closed,10,,,40,,"158,794",,,,Unknown,Not used,No,,No,,,,No,,,,
1007654,11260,Bakersfield City Landfill,CA,,4200 Panorama Drive,Bakersfield,Kern,93306,35.41418,-118.94949,No,Public,"City of Bakersfield, CA","City of Bakersfield, CA",1956,1983,Closed,,85,,,,,,,,Unknown,Not used,No,0.583,Yes,0.196,2012,27.5,Yes,,0.196,2012,"2012-67 wells, system capacity=400 acfm."
1002896,58,Bakersfield Metropolitan SLF (BENA),CA,,"2951 Neumarkel Road
17 miles E of Bakersfield, off Hwy 58",Edison,Kern,93220,35.34387,-118.75847,No,Public,"Kern County, CA","Kern County, CA",1992,2045,Open,229,114.5,200,100,"27,204,423","9,898,493",2017,"449,570",2017,Yes,Occasionally but not every year,No,2.14,Yes,1.657,2017,50.4,Yes,1,1.657,2017,"4/09-GCCS installed in 2004, (1) John Zink ZTOF 1,200 cfm flare.; 9/10-35 wells, gas collection began in 2004, 1 enclosed flare.; 2012-47 wells, system capacity=1200 acfm."
,59,Balance Rock Disposal Site,CA,,,Balance Rock,Tulare,93207,35.883334,-118.666667,No,Public,"Tulare County, CA","Tulare County, CA",,1998,Closed,10,,,,,"9,300",,,,Unknown,Not used,No,,No,,,,No,,,,
1004406,60,Barstow Sanitary Landfill,CA,,32553 Barstow Road,Barstow,San Bernardino,92311,34.83389,-117.02,Yes,Public,"San Bernardino County, CA",BURRTEC,1963,2071,Open,47,43.4,,75,"48,178,434","2,610,848",2017,"76,684",2017,No,Not used,No,0.55,Yes,0.25,2010,,Yes,,0.25,2010,"9/10-55 wells over 47 acres, gas collection began in 2009, 1 GAC unit.; 2012-57 wells, system capacity=500 acfm."
,194,Bass Hill LF,CA,Lassen County LF,"469-700 Johnstonville Dump Road
off Hwy 395",Johnstonville,Lassen,96130,40.35281,-120.55508,No,Public,United States Bureau of Land Management,"Lassen Regional Solid Waste Management Authority, CA",1974,2019,Open,45,,,,,"351,480",2011,"22,457",2004,Unknown,Not used,No,,No,,,,No,,,,
,61,Beale Air Force Base SLF,CA,,,Beale Air Force Base,Yuba,95903,39.1,-121.4,No,Public,United States Air Force,United States Air Force,,1997,Closed,40,,,,,"389,440",,0,,Unknown,Not used,No,,No,,,,No,,,,
,63,Ben Lomond Solid Waste Disposal Site,CA,Ben Lomond LF,9835 Newell Creek Road,Ben Lomond,Santa Cruz,95005,37.09375,-122.07535,No,Public,"Santa Cruz County, CA","Santa Cruz County, CA",1951,1995,Closed,24,24,100,65,,"1,200,000",1995,0,,Unknown,Not used,No,,Yes,0.12,,50,Yes,,0.12,,
,64,Benton Crossing SLF,CA,,899 Pit Road,Whitmore Hot Springs,Mono,93512,37.68748,-118.78128,No,Public,Los Angeles Department of Water & Power (LADWP),"Mono County, CA",,2012,Closed,90,,,,,"246,000",,"27,652",2004,Unknown,Not used,No,,No,,,,No,,,,
,65,Benton SLF,CA,,400 Christie Lane,Benton,Mono,93514,37.81825,-118.4686,No,Public,United States Bureau of Land Management,"Mono County, CA",,2027,Open,10,,,,,"100,000",2004,"28,605",2003,Unknown,Not used,No,,No,,,,No,,,,
,66,Berryessa Garbage Service Disposal Site,CA,,Steele Canyon Road,Napa,Napa,94559,38.452,-122.1829,No,Private,Gomez Boys,Gomez Boys,,1992,Closed,13,,,,,"50,000",,"1,203",1991,Unknown,Not used,No,,No,,,,No,,,,
,67,Bieber Disposal Facility,CA,,,Bieber,Lassen,96009,41.116667,-121.133334,No,Public,"Lassen Regional Solid Waste Management Authority, CA","Lassen Regional Solid Waste Management Authority, CA",,1992,Closed,7,,,,,"50,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,68,Big Bear Refuse Disposal Site,CA,Big Bear/Mt. Doble Landfill,38550 Holcomb Valley Road,Big Bear City,San Bernardino,92314,34.2994,-116.8736,No,Public,"San Bernardino County, CA",BURRTEC,1949,2001,Closed,59,,,60,"720,000","540,000",,"33,928",2001,Unknown,Not used,No,,No,,,,No,,,,7/13-Installing GCCS in 2013.
,69,Big Oak Flat LF,CA,,Jackass Creek Road,Groveland,Tuolumne,95321,37.81286,-120.2269,No,Public,United States Bureau of Land Management,"County of Tuolumne, CA",,2002,Closed,5,,,,,"241,200",,0,,Unknown,Not used,No,,No,,,,No,,,,
1006218,70,Billy Wright Landfill,CA,,17173 S. Billy Wright Road,Los Banos,Merced,95365,37.03949,-120.97235,No,Public,"Merced County Regional Waste Management Authority, CA","Merced County Regional Waste Management Authority, CA",1974,2054,Open,,39.8,,,"10,435,786","1,851,734",2017,"169,079",2017,No,Not used,No,0.338,No,,,,No,,,,
,71,Bishop Sunland,CA,,110 Sunland Reservation Road,Bishop,Inyo,93514,37.32961,-118.40007,No,Public,Los Angeles Department of Water & Power (LADWP),Inyo County Integrated Waste Management,1955,2064,Open,69,,,,,"250,000",2004,"12,448",2014,Unknown,Not used,No,,No,,,,No,,,,
1011449,72,BKK Landfill-Phases I & II,CA,BKK West Covina Disposal Site,2210 South Azusa Avenue,West Covina,Los Angeles,91792,34.0353,-117.913,No,Private,BKK Corporation,BKK Corporation,1963,1996,Closed,,,70,,"49,245,368","49,245,368",1996,"2,456,370",1996,No,Not used,No,,Yes,11.52,2017,21.1,Yes,,,,
,73,Black Butte Solid Waste Disposal Site,CA,,,Mount Shasta,Siskiyou,96067,41.316667,-122.3,No,Public,United States Department of Agriculture; United States Forest Service,"Siskiyou County, CA",,2003,Closed,27,,,,,"150,000",,"6,200",2003,Unknown,Not used,No,,No,,,,No,,,,
,74,Blythe Disposal Site,CA,,1000 Midland Road,Blythe,Riverside,92225,33.70478,-114.62673,No,Public,"Riverside County, CA","Riverside County, CA",1976,2047,Open,78,78,,40,"2,000,000","732,963",2015,"26,040",2004,Unknown,Not used,No,0.072,Yes,0.058,,,No,,0,,
,1774,Bonsall Landfill,CA,,29000 Twin Oaks Valley Road,Vista,San Diego,92084,33.2412,-117.1799,No,Public,"County of San Diego, CA",,,,Closed,,,,,,,1998,,1998,Unknown,Not used,No,,Yes,0.1728,2010,,Yes,,0.1728,2010,
,75,Bonzi SLF,CA,,2650 West Hatch Road,Modesto,Stanislaus,95358,37.60566,-121.03684,No,Private,Rudi Bonzi Inc,Rudi Bonzi Inc,1967,2010,Closed,115,,,,,"1,800,000",,"11,619",2004,Unknown,Not used,No,,Yes,,,50,Yes,,,,
,76,Boron SLF,CA,,11400 Boron Avenue,Boron,Kern,93516,34.99028,-117.6475,No,Public,"Kern County, CA","Kern County, CA",1973,2048,Open,14,14,50,40,"557,000","458,500",2009,"3,000",2009,Unknown,Not used,No,0.072,No,,,,No,,,,
,77,Borrego Landfill,CA,Borrego Springs LF,2449 Palm Canyon Road,Borrego Springs,San Diego,92004,33.248,-116.293,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1973,2046,Open,19,,,,,"107,389",,"5,268",2004,Unknown,Not used,No,,No,,,,No,,,,
1007951,78,Bradley Landfill,CA,Bradley Avenue West SLF and Bradley East LF,9227 Tujunga Avenue,Sun Valley,Los Angeles,91352,34.23753,-118.38042,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1958,2007,Closed,168,168,250,,,"61,302,299",2007,"408,132",2007,No,Not used,No,14.6,Yes,4.246,2017,41.6,Yes,3,4.246,2017,"10/02-3 enclosed flares.; 2012-273 wells, system capacity=10400 acfm."
,80,Brand Park LF,CA,Branford LF,,Glendale,Los Angeles,91206,34.15,-118.25,No,Public,"City of Glendale, CA","City of Glendale, CA",1957,1961,Closed,10,,,,,"408,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,81,Brawley Disposal Site,CA,,,Brawley,Imperial,92227,32.983334,-115.533334,No,Public,"Imperial County, CA","Imperial County, CA",,2005,Closed,52,,,,,"400,000",2004,"18,205",2004,Unknown,Not used,No,,No,,,,No,,,,
,82,Bridgeport SLF,CA,,,Bridgeport,Mono,95338,34.183334,-118.3,No,Public,United States Bureau of Land Management,"Mono County, CA",,2004,Closed,38,,,,,"54,000",,103,2004,Unknown,Not used,No,,No,,,,No,,,,
1006221,83,Buena Vista Drive SLF,CA,Buena Vista Disposal Site,"1231 Buena Vista Drive
150 Rountree Lane",Watsonville,Santa Cruz,95076,36.91738,-121.81142,Yes,Public,"Santa Cruz County, CA","Santa Cruz County, CA",1981,2032,Open,,60,100,,"6,026,606","4,008,374",2017,"105,869",2017,No,Not used,No,2.27,Yes,1.525,2017,43.6,Yes,,,,"2012-92 wells, system capacity=1200 acfm."
1007600,84,Burbank LF Site No. 3,CA,,2500 N. Bel Aire Drive,Burbank,Los Angeles,91504,34.21018,-118.31192,No,Public,"City of Burbank, CA","City of Burbank, CA",1968,2084,Open,49,48,,,"5,391,225","2,000,000",,"40,722",2004,Unknown,Not used,No,0.548,Yes,0.543,2012,45.4,Yes,,,,"2012-38 wells, system capacity=450 acfm."
,85,Buttonwillow SLF,CA,,,Buttonwillow,Kern,93206,34.15,-118.733334,No,Public,"Kern County, CA","Kern County, CA",1972,1998,Closed,17,,,,,"110,745",1998,65,1998,Unknown,Not used,No,,No,,,,No,,,,
1003599,87,Calabasas SLF,CA,,5300 Lost Hills Road,Agoura Hills,Los Angeles,91301,34.14862,-118.70953,No,Public,"Sanitation Districts of Los Angeles County, CA","Sanitation Districts of Los Angeles County, CA",1961,2040,Open,416,315.1,,120,"30,930,000","26,805,695",2017,"406,437",2017,No,Not used,No,9.63,Yes,6.39,2012,26,Yes,9,,,"5/04-GCCS consists of 650 vertical extraction wells & >70,000 linear feet of horizontal trenches.; 9/10-504 wells over 416 acres, gas collection began in 1986, 9 enclosed flares.; 2012-673 wells, system capacity=10500 acfm."
,89,Calexico Solid Waste Disposal Site,CA,,"New River & Hwy 98
133 W Hwy 98",Calexico,Imperial,92231,32.6764,-115.54565,No,Public,Imperial Irrigation District,"Imperial County, CA",,2077,Open,40.1,,,,,"500,000",2004,"1,541",2004,Unknown,Not used,No,,No,,,,No,,,,
1010207,90,California Street LF,CA,,2151 Nevada Street,Redlands,San Bernardino,92374,34.08861,-117.221,No,Public,"City of Redlands, CA","City of Redlands, CA",1963,2042,Open,65,,,,"4,495,166","2,837,235",2017,"50,436",2017,No,Not used,No,,Yes,1.5,,32.4,Yes,1,,,
,91,California Valley LF,CA,,,San Luis Obispo,San Luis Obispo,,,,No,Public,CA Valley Community Services District,CA Valley Community Services District,,1998,Closed,6,,,,,"25,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,92,Camp Roberts Solid Waste Disposal Site,CA,,Sanitary Fill Road,Camp Roberts (Mil Res),San Luis Obispo,93451,35.77509,-120.7343,No,Public,California National Guard,California National Guard,,2031,Open,150,,,,,"865,443",,,,Unknown,Not used,No,,No,,,,No,,,,
,93,Camp San Luis Obispo LF,CA,Sutter Avenue Landfill,Sutter Avenue,Los Osos,San Luis Obispo,93406,35.31803,-120.74299,No,Public,State Military Department,Camp San Luis Obispo,,1985,Closed,8,,,,,"50,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,94,Casa Grande Site,CA,Healdsburg,West End of Casa Grande Road,Petaluma,Sonoma,94954,38.22944,-122.60861,No,Public,City of Petaluma Street Department,City of Petaluma Street Department,,1993,Closed,27,,,,,"500,000",,413,1990,Unknown,Not used,No,,No,,,,No,,,,
,95,Caspar Refuse Disposal Site,CA,,end of Prairie Way,Caspar,Mendocino,95460,39.338,-123.783,No,Public,Mendocino County Division of Solid Waste,Mendocino County Division of Solid Waste,,1996,Closed,60,,,,,"365,215",,,,Unknown,Not used,No,,No,,,,No,,,,
,96,Cecilville Disposal Site,CA,,Eddy Gulch Road,Cecilville,Siskiyou,96031,41.15278,-123.13333,No,Public,United States Department of Agriculture; United States Forest Service,"Siskiyou County, CA",,1994,Closed,1,,,,,"10,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,97,Cedarville LF - East,CA,,,Cedarville,Modoc,,,,No,Public,United States Bureau of Land Management,"Modoc County, CA",,1993,Closed,10,,,,,"10,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,99,Chalfant SLF,CA,,,Chalfant,Mono,93514,37.53089,-118.357,No,Public,"Mono County, CA","Mono County, CA",,2004,Closed,4.5,,,,,"50,000",2004,0,2004,Unknown,Not used,No,,No,,,,No,,,,
1007015,100,Chateau Fresno LF,CA,,8662 W. Muscat,Fresno,Fresno,93706,36.6856,-119.9397,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1967,1996,Closed,,79,334,,,"12,451,139",,"318,731",1994,Unknown,Not used,No,1.44,Yes,1.15,2012,30.7,Yes,,1.15,2012,"1/03-Permit No. C-150-1-0 for 1,000 scfm.; 2010-67 wells, system capacity=2600 acfm."
,101,Chester SLF,CA,,"CR-322 Off Hwy 36
East Of Chester",Chester,Plumas,96020,40.32667,-121.13833,No,Public,"Plumas County, CA","Plumas County, CA",,2024,Open,27.8,,,,,"50,000",2004,170,2004,Unknown,Not used,No,,No,,,,No,,,,
,102,Chestnut Avenue SLF,CA,Thrifty Best,12825 South Chestnut Avenue,Fresno,Fresno,93725,36.5513,-119.7387,No,Private,Shubin Farms; Trifty Best Pumping Service,"Republic Services, Inc.",1967,1993,Closed,32,25,,41,,"784,000",,"122,523",1993,Unknown,Not used,No,,Yes,0.32,,50,Yes,1,0.32,,"1/03-Permit No. C-146-1-0 to operate flare.; 9/10-35 wells over 32 acres, 1 enclosed flare."
,103,Chicago Grade LF,CA,,2290 Homestead Road,Templeton,San Luis Obispo,93465,35.52333,-120.63028,No,Private,"Chicago Grade Landfill, Inc.","Chicago Grade Landfill, Inc.",1970,2039,Open,77.1,,,,,"1,930,448",2016,"105,387",2016,Unknown,Not used,No,,Yes,,,50,Yes,,,,
1002898,104,China Grade SLF,CA,,"6500 Camino Grande Drive
E of Alfred Harrell Hwy & Fairfax Road",Bakersfield,Kern,93306,35.42499,-118.92934,No,Public,"Kern County, CA","Kern County, CA",1983,1992,Closed,58,56,150,150,"3,608,940","3,608,940",,"318,332",1991,Unknown,Not used,No,0.77,Yes,0.493,2012,34,Yes,1,0.493,2012,"9/10-23 wells, gas collection began in 2002, 1 enclosed flare.; 2010-24 wells, system capacity=400 acfm."
,138,China Lake NWC Golf Course Landfill,CA,E.O.D. #2,Halsey Avenue,China Lake NWC (Mil,Kern,93555,35.6611,-117.633,No,Private,Cook,Cook,,,Closed,,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,
1002992,105,Chiquita Canyon SLF,CA,,29201 Henry Mayo Drive,Castaic,Los Angeles,91384,34.42806,-118.64661,No,Private,"Waste Connections, Inc.","Waste Connections, Inc.",1970,2047,Open,271,227,,100,"60,715,392","38,777,737",2017,"1,491,779",2017,No,Not used,No,,Yes,8.689,2017,42.9,Yes,,,,"2012-324 wells, system capacity=8000 acfm."
1011669,107,City of Clovis LF,CA,Clovis LF,15679 Auberry Road,Clovis,Fresno,93619,36.943,-119.685,No,Public,"City of Clovis, CA","City of Clovis, CA",1957,2055,Open,76.6,,,,"5,117,004","1,797,330",2017,"58,048",2017,No,Not used,No,,Yes,0.572,2017,46.2,Yes,,0.572,2017,
1007993,11220,City of Fresno Landfill,CA,Fresno Sanitary Landfill,1707 West Jensen Avenue,Fresno,Fresno,93706,36.7067,-119.8311,No,Public,"City of Fresno, CA","City of Fresno, CA",1937,1987,Closed,,145,,60,,"4,800,000",1987,"198,000",1987,Unknown,Not used,No,1.34,Yes,1.15,2012,34.4,Yes,1,1.15,2012,"2010-115 wells, system capacity=1800 acfm."
1004868,108,City of Lompoc SLF,CA,Lompoc LF,700 S. Avalon Road,Lompoc,Santa Barbara,93436,34.65271,-120.44256,No,Public,"City of Lompoc, CA","City of Lompoc, CA",1961,2045,Open,45,39,,,"22,079,782","2,246,681",2017,"37,667",2017,No,Not used,No,0.45,Yes,0.13,2017,51.9,Yes,,0.13,2017,
,110,City of Paso Robles LF,CA,,9000 Highway 46 East,Paso Robles,San Luis Obispo,93446,35.663,-120.532,No,Public,"City of Paso Robles, CA","City of Paso Robles, CA",1970,2051,Open,65,,,,,"870,000",,"49,647",2004,Unknown,Not used,No,,Yes,,,50,Yes,,,,
,111,City of Redding/Benton LF,CA,,2001 Buenaventura Boulevard,Redding,Shasta,96001,40.5689,-122.4112,No,Public,"City of Redding, CA","City of Redding, CA",,1990,Closed,71,,,33,"1,000,000","982,000",,"13,552",,Unknown,Not used,No,,Yes,,,60,Yes,,0.12,,
1006960,264,City of Sacramento Landfill,CA,28th Street Landfill,20 28th Street,Sacramento,Sacramento,95816,38.58583,-121.46389,No,Public,"City of Sacramento, CA","City of Sacramento, CA",1968,1994,Closed,130,108,80,,,"3,900,000",,"120,720",1993,Unknown,Not used,No,1.36,Yes,1.16,2012,37.4,Yes,2,,,"2012-164 wells, system capacity=2000 acfm."
