GHGRP ID,Landfill ID,Facility.Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
1000339,271,City of Santa Cruz SLF,CA,,605 Dimeo Lane,Santa Cruz,Santa Cruz,95060,36.97602,-122.10608,Yes,Public,"City of Santa Cruz, CA","City of Santa Cruz, CA",1960,2061,Open,67,43.3,,,"6,290,595","3,024,722",2009,"55,880",2009,Unknown,Not used,No,0.854,Yes,0.801,2012,44.7,Yes,,,,"2012-48 wells, system capacity=840 acfm."
1004828,115,City of Ukiah Solid Waste Disposal Site,CA,,3100 Vichy Springs Road,Ukiah,Mendocino,95482,39.16944,-123.16417,No,Public,"City of Ukiah, CA","City of Ukiah, CA",1955,2001,Closed,40,40,80,,,"2,200,000",1998,"42,860",,Unknown,Not used,No,0.308,No,,,,No,,,,
1004364,315,City of Watsonville Landfill,CA,Watsonville City Solid Waste Disposal Site,730 San Andreas Road,Watsonville,Santa Cruz,95076,36.914,-121.824,Yes,Public,"City of Watsonville, CA","City of Watsonville, CA",1963,2019,Open,48,26.9,,,,"1,409,905",2017,"28,705",2017,No,Not used,No,0.434,Yes,0.316,2012,43.8,Yes,,0.316,2012,"2010-25 wells, system capacity=350 acfm, LFG combusted off-site at County of Buena Vista Landfill.; 2012-47 wells."
,117,City of Willits Disposal Site,CA,City of Willits DS,,Willits,Mendocino,95490,39.4,-123.35,No,Public,City of Willits,City of Willits,,1997,Closed,20,,,,,"250,000",,"13,990",1997,Unknown,Not used,No,,No,,,,No,,,,
,118,Clipper Creek,CA,Clipper Creek LF,,Applegate,Placer,,,,No,Private,"Sutherland Construction, Inc.","Sutherland Construction, Inc.",,1990,Closed,,,2,,,"10,000",,0,1990,Unknown,Not used,No,,No,,,,No,,,,
1006557,11160,Clover Flat Landfill,CA,,4380 Silverado Trail,Calistoga,Napa,94515,38.5848,-122.534,Yes,Private,Clover Flat Resource Recovery Park,,2001,2053,Open,44,36.2,,,"2,886,830",,,,,Unknown,Not used,No,0.461,Yes,0.387,2012,46.6,Yes,,,,"2010-27 wells, system capacity=500 acfm."
1005654,120,Coachella Valley Disposal Site,CA,Coachella Sanitary Landfill,"Landfill Road N.
87-011 44th Avenue",Coachella,Riverside,92236,33.725,-116.142,Yes,Public,"Riverside County, CA","Riverside County, CA",1972,1997,Closed,75,74.7,,160,"3,238,000","3,238,000",,"48,550",1997,Unknown,Not used,No,0.867,Yes,0.462,2012,38.6,Yes,1,0.462,2012,"2010-31 wells, system capacity=700 scfm."
,121,Coalinga Disposal Site,CA,,30825 Lost Hills Road,Coalinga,Fresno,93210,36.10972,-120.35918,No,Private,Chevron USA,"Fresno County, CA",1956,2009,Closed,52,,,,,"580,350",,"10,394",2008,Unknown,Not used,No,,No,,,,No,,,,
1006322,122,Cold Canyon LF Solid Waste Disposal Site,CA,,2268 Carpenter Canyon Road,San Luis Obispo,San Luis Obispo,93401,35.1873,-120.59579,Yes,Private,Corral de Piedra Land Company,"Waste Connections, Inc.",1965,2040,Open,88,88,,,"19,123,273","6,161,262",2017,"170,123",2017,Yes,Several times per year,No,1.62,Yes,1.212,2017,48.8,Yes,,,,"5/08-41 vertical wells and 30,000 feet of piping.; 2012-67 wells, system capacity=1100 acfm."
1004691,124,Colton Sanitary Landfill,CA,Colton LF,850 Tropica Rancho Road,Colton,San Bernardino,92324,34.04556,-117.33861,No,Public,"San Bernardino County, CA",BURRTEC,1965,2014,Closed,82,81.2,,150,"9,297,897","9,271,115",2014,"23,628",2014,No,Not used,No,2.75,Yes,1.711,2017,44.3,Yes,2,,,"9/10-137 wells over 82 acres, 1 enclosed flare.; 2012-168 wells, system capacity=3200 acfm."
1005955,125,Contra Costa SLF,CA,Contra Costa Solid Waste Inc & GBF Disposal Site; Central Contra Costa SLF,"James Donlon Boulevard
1/4mi E/O Somersville Road",Antioch,Contra Costa,94509,37.9875,-121.84528,No,Private,"TRC Solutions, Inc.",,1949,1992,Closed,85,69.5,,,"4,578,840","4,153,922",1992,"68,449",1992,No,Not used,No,0.908,Yes,0.252,2017,34.6,Yes,,0.252,2017,"2010-26 wells, system capacity=2000 acfm."
1000369,342,Corona Disposal Site,CA,Temescal Road LF; City of Corona LF,1300 Magnolia Avenue,Corona,Riverside,92879,33.8674,-117.5395,No,Public,"Riverside County, CA","Riverside County, CA",1960,1986,Closed,90,60.9,,100,"4,000,000","4,000,000",,0,,Unknown,Not used,No,0.893,Yes,0.281,2012,24.3,Yes,,0,,"2012-37 wells, system capacity=400 acfm."
,126,Corral Hollow LF,CA,,31130 S. Corral Hollow Road,Tracy,San Joaquin,95377,37.67,-121.45667,No,Public,"San Joaquin County, CA","San Joaquin County, CA",1955,1995,Closed,45,,,,,"885,000",,"90,398",1994,Unknown,Not used,No,,Yes,,,38,Yes,1,0.216,,
1002104,128,Coyote Canyon SLF,CA,,20661 Newport Coast Drive,Newport Beach,Orange,92657,33.6267,-117.8312,No,Public,"County of Orange - OC Waste & Recycling, CA",,1963,1990,Closed,325,325,250,250,"39,000,000","38,999,999",1990,"214,093",1990,No,Not used,No,7.16,Yes,5.04,2018,38.9,Yes,,5.04,2018,"2012-424 wells, system capacity=10000 acfm."
1004419,129,Crazy Horse Landfill,CA,Crazy Horse Canyon LF,350 Crazy Horse Canyon Road,Salinas,Monterey,93907,36.7946,-121.61511,No,Public,"Salinas Valley Solid Waste Authority, CA","Salinas Valley Solid Waste Authority, CA",1934,2009,Closed,72,72,,410,"2,064,000","1,642,549",2002,"209,345",2004,Unknown,Not used,No,2.4,Yes,2.05,2012,51,Yes,1,,,"2012-130 wells, system capacity=25000 acfm."
,130,Crescent City SLF,CA,Del Norte County SLF,"Hights Access Road
Off Old Mill Road",Crescent City,Del Norte,95531,41.79083,-124.21861,No,Public,County of Del Norte,Del Norte Solid Waste Management Authority,1977,2006,Closed,23,,,,"482,866","482,866",2006,"22,611",2004,Unknown,Not used,No,,No,,,,No,,,,
1007736,106,Cummings Road Landfill,CA,City Garbage Company LF,5775 Cummings Road,Eureka,Humboldt,95503,40.76167,-124.08833,No,Public,"Humboldt Waste Management Authority, CA",City Garbage Company,1978,2000,Closed,107,33.6,540,200,"1,843,516","1,843,516",2000,"11,749",2000,No,Not used,No,0.765,Yes,0.209,2017,22,Yes,1,0.209,2017,"2012-52 wells, system capacity=500 acfm."
1007794,12146,CWMI - KHF (MSW Landfill B-19),CA,,35251 Old Skyline Road,Kettleman City,Kings,93239,36.1003959,-120.0202964,No,Private,"Waste Management, Inc.",,1998,2087,Open,,43.4,,,"18,734,615","4,099,432",2017,"364,968",2017,No,Not used,Yes,0.899,Yes,0.865,2017,40.7,Yes,,0.865,2017,"2012-32 wells, system capacity=2000 acfm."
1003800,333,Davis Street LF,CA,Oyster Bay Regional Park,2615 Davis Street,San Leandro,Alameda,94577,37.7144,-122.1948,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1942,1980,Closed,,53,50,,"7,801,335","4,200,719",1980,"200,034",1980,No,Not used,No,1.12,Yes,0.525,2017,30.4,Yes,,0.525,2017,"2012-62 wells, system capacity=1000 acfm."
,132,Deep Springs College Disposal Site,CA,,"Off Hwy 168
due East Of Big Pine",Deep Springs,Inyo,89010,37.36404,-117.98711,No,Private,Deep Springs College,Deep Springs College,,1992,Closed,,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,
,139,Desert Center LF,CA,Eagle Mountain LF,17991 Kaiser Road,Desert Center,Riverside,92239,33.77754,-115.40867,No,Public,"Riverside County, CA","Riverside County, CA",,2087,Open,7,,,,,"23,000",,43,2004,Unknown,Not used,No,,Yes,,,50,Yes,,,,
,134,Diamond LF,CA,,,Red Bluff,Tehama,,,,No,Private,Landfill Owner of Diamond LF,"Sierra Pacific Industries, Inc.",,,Unknown,,,,,,,,0,,Unknown,Not used,No,,No,,,,No,,,,
,135,Dixon Pit LF,CA,,,Elk Grove,Sacramento,95624,38.416667,-121.366667,No,Private,"West Coast Building - Wrecking, Inc.","West Coast Building - Wrecking, Inc.",,1999,Closed,30,,,,,"214,800",,"5,099",1998,Unknown,Not used,No,,Yes,,,50,Yes,,,,
1000367,136,Double Butte Disposal Site,CA,,31710 Grand Avenue,Winchester,Riverside,92596,33.72,-117.10833,No,Public,"Riverside County, CA","Riverside County, CA",1973,1994,Closed,,102.8,,60,"2,100,000","2,100,000",,"42,245",1994,Unknown,Not used,No,0.705,Yes,0.254,2012,28,Yes,1,0.254,2012,"2012-48 wells, system capacity=300 acfm."
,334,Duarte LF,CA,City of Duarte LF,,Duarte,Los Angeles,,,,No,Public,City of Duarte,,1969,1976,Closed,33,,,,,"1,600,000",,0,,Unknown,Not used,No,,Yes,0.3,,50,No,,,,
,140,Eagleville Disposal Site,CA,,,Eagleville,Modoc,96104,41.31667,-120.04167,No,Public,United States Bureau of Land Management,"Modoc County, CA",,1993,Closed,23,,,,,"10,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,141,Earlimart Disposal Site,CA,,"INT of Ave 72 & Rd 136
2 mi N of town",Earlimart,Tulare,93219,35.91989,-119.26696,No,Public,"Tulare County, CA","Tulare County, CA",,1998,Closed,16.6,,,,,"782,400",,"4,754",1997,Unknown,Not used,No,,Yes,,,,No,,,,
,142,Eastern Regional LF,CA,,,Truckee,Placer,96161,39.3525,-120.1898,No,Public,United States Forest Service,"Tahoe Truckee Disposal Company, Inc.",,1994,Closed,36,,,,,"500,000",,"32,501",1993,Unknown,Not used,No,,Yes,,,50,Yes,,,,
1011676,143,Eastlake SLF,CA,,16015 Davis Avenue,Clearlake,Lake,95422,38.95333,-122.60083,Yes,Public,"Lake County, CA","Lake County, CA",1972,2030,Open,31,,,,"2,300,394","2,247,556",2017,"87,652",2017,No,Not used,No,,Yes,0.549,2017,48.9,Yes,,0.549,2017,
1000368,144,Edom Hill Disposal Site,CA,,"70-100 Edom Hill Road
1.3 miles East of Varner Road",Desert Hot Springs,Riverside,92241,33.88141,-116.44632,Yes,Public,"Riverside County, CA","Riverside County, CA",1967,2004,Closed,148,146.3,,120,"6,800,000","6,100,000",2002,"483,228",2004,Unknown,Not used,No,2.08,Yes,1.12,2012,41.3,Yes,,1.12,2012,"2012-65 wells, system capacity=1000 acfm."
,145,Edwards Air Force Base-Main Base LF,CA,,,Edwards Air Force Base,Kern,93523,34.95605,-117.95627,Yes,Public,United States Air Force,United States Air Force,,2021,Open,64,,,,,"300,000",2004,"8,928",2004,Unknown,Not used,No,,No,,,,No,,,,
1007693,147,El Sobrante SLF,CA,,10910 Dawson Canyon Road,Corona,Riverside,92883-5020,33.79923,-117.46786,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1986,2063,Open,,201.4,60,,"212,240,372","44,251,796",2017,"3,374,248",2017,No,Not used,No,10.1,Yes,5.27,2012,40,Yes,2,,,"1/03-New 5,500 scfm flare is in design phase, should go online by end of 2003.; 2012-166 wells, system capacity=7300 acfm.; 3/17-Ultra-low NOx flare."
,148,Evans Road LF,CA,Evans Rd LF-P1; AP #18-160-46,"Evans Road & Hahn Road
2.5 miles south of Meyers Road",Arbuckle,Colusa,95912,39.067,-122.175,No,Public,"Colusa County, CA","Colusa County, CA",,1995,Closed,49,,,,,"200,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,149,Exeter Disposal Site,CA,,242 Avenue & Road 188,Lindsay,Tulare,93247,36.22956,-119.15245,No,Public,"Tulare County, CA","Tulare County, CA",,2005,Closed,34,,,,,"500,000",2004,0,2004,Unknown,Not used,No,,No,,,,No,,,,8/13-Venting.
1003202,150,Fairmead Solid Waste Disposal Site,CA,,21739 Road 19,Chowchilla,Madera,93610,37.06468,-120.1991,No,Public,"Madera County, CA",Redrock Environmental Group,1971,2048,Open,121.2,85,,75,"15,926,354","4,368,140",2017,"195,451",2017,Yes,Occasionally but not every year,No,,Yes,1.766,2017,35.8,Yes,,1.766,2017,"2010-38 wells, system capacity=1000 acfm."
1003814,151,Fink Road LF,CA,,4000 Fink Road,Crows Landing,Stanislaus,95313,37.38816,-121.13633,No,Public,"Stanislaus County, CA","Stanislaus County, CA",1973,2028,Open,375,71,80,,"9,519,129","3,777,919",2017,"239,280",2017,No,Not used,No,1.56,Yes,0.514,2017,30.8,Yes,1,0.514,2017,"4/05-Flare operates every 48 hours, wells are located in old closed cells, addl wells to be installed in the next year to increase gas flow.; 9/10-GCCS covers 18.3 acres, began in 2002, 1 enclosed flare.; 2010-28 wells, system capacity=1100 acfm."
1007198,153,"Foothill Sanitary Landfill, Inc.",CA,San Joaquin,6484 North Waverly Road,Linden,San Joaquin,95236,38.0371,-120.94489,No,Public,"San Joaquin County, CA","Foothill Sanitary Landfill, Inc.",1965,2092,Open,750,124,,,"92,061,782","5,311,533",2017,"289,351",2017,Yes,Several times per year,No,4.96,Yes,2.16,2012,48.6,Yes,,,,"2010-13 wells, system capacity=2000 acfm."
,154,Fort Bidwell LF,CA,,,Fort Bidwell,Modoc,96112,37.883334,-121.266667,No,Public,"Modoc County, CA","Modoc County, CA",,1993,Closed,13,,,,,"10,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,259,Fort Irwin Sanitary Landfill,CA,,Reserve Component Training Center,Fort Irwin (Mil Res),San Bernardino,92310,35.26589,-116.66233,No,Public,United States Army,United States Army,,2405,Open,422,,,,,"7,577,621",,"6,809",2004,Unknown,Not used,No,,No,,,,No,,,,
1004010,11120,Forward Landfill,CA,Forward Inc. Landfill,9999 S. Austin Road,Manteca,San Joaquin,95336,37.874624,-121.1833,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1973,3000,Open,,288,,,"32,882,079","26,044,071",2017,"897,932",2017,Yes,Occasionally but not every year,No,,Yes,5.644,2017,50.1,Yes,,,,"2012-278 wells, system capacity=5000 acfm, passive vents/flares too."
,156,Foxen Canyon SLF,CA,Foxen LF,,Los Olivos,Santa Barbara,93441,37.95,-121.283334,No,Private,Chamberlin Estate,"Santa Barbara County, CA",,2003,Closed,17,,,,,"120,000",,"10,815",2003,Unknown,Not used,No,,Yes,,,50,Yes,,,,
1002107,62,Frank R. Bowerman SLF,CA,Bee Canyon SLF,11002 Bee Canyon Access Road,Irvine,Orange,92602,33.72053,-117.70947,No,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1990,2053,Open,534,259.6,400,250,"111,710,135","52,315,131",2017,"2,461,277",2017,No,Not used,No,,Yes,15.12,2018,51.1,Yes,5,4.37,2018,"10/02-Currently flaring (4 flares @ 1500 cfm each), in the process of designing a new 4500 cfm flare.; 2012-141 wells, system capacity=11000 acfm.; 4/16-GCCS started in 1998."
,157,French Camp Landfill,CA,,3335 Manthey Road,Stockton,San Joaquin,95206,37.916,-121.295,No,Private,"Republic Services, Inc.","Republic Services, Inc.",,1999,Closed,66,,,,,"400,000",,650,1999,Unknown,Not used,No,,No,,,,No,,,,
,158,Furnace Creek,CA,,"Spur Road
off Hwy 190",Furnace Creek Ranch,Inyo,92328,36.47,-116.853,No,Public,Death Valley National Monument,Death Valley National Monument,,1996,Closed,10,,,,,"50,000",,140,1996,Unknown,Not used,No,,No,,,,No,,,,
1003813,159,Geer Road SLF,CA,,750 Geer Road,Modesto,Stanislaus,95357,37.62609,-120.85,No,Public,"City of Modesto, CA; Stanislaus County, CA",,1970,1990,Closed,168,144,,,"4,984,513","4,984,513",1990,"51,818",1990,No,Not used,No,1.88,Yes,0.973,2017,27.9,Yes,,0.973,2017,"9/10-93 wells, gas collection began in 1992, 1 enclosed flare.; 2012-90 wells, system capacity=800 acfm."
,160,Glenn County LF Site,CA,,5700 County Road 33,Artois,Glenn,95913,39.634,-122.285,No,Public,"Glenn County, CA","Glenn County, CA",,2021,Open,52,,,,,"540,000",,"23,315",2004,Unknown,Not used,No,,No,,,,No,,,,
,161,Glennville LF,CA,,Evans Road,Glennville,Kern,93226,35.71993,-118.68282,No,Public,United States Forest Service,"Kern County, CA",,1991,Closed,4,,,,,"50,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,162,Goldstone Deep Space Comm Complex,CA,Echo Gold,,Fort Irwin (Mil Res),San Bernardino,,35.3054,-116.79893,No,Public,,California Institute of Technology's Jet Propulsion Laboratory,,1998,Closed,7,,,,,"25,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,163,Gopher Hill SLF,CA,,Bucks Lake And Snake Lake Roads,Spanish Ranch,Plumas,95963,39.954,-121.031,No,Public,Plumas National Forest Quincy Road,"Plumas County, CA",,2002,Closed,13,,,,,"283,500",,83,,Unknown,Not used,No,,No,,,,No,,,,
1007837,164,Guadalupe Rubbish Disposal Facility,CA,Guadalupe Disposal Site; Guadalupe Sanitary Landfill,15999 Guadalupe Mines Road,San Jose,Santa Clara,95120,37.21139,-121.90139,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1929,2052,Open,115,92,100,,"28,243,689","9,739,936",2017,"315,105",2017,No,Not used,No,4.55,Yes,4.333,2017,43.6,Yes,,,,"2012-68 wells, system capacity=3425 acfm."
1011716,165,Hanford SLF,CA,"Hanford Inert LF (City of Hanford LF), Kings County Waste & Recycling","7803 Hanford-Armona Road
at SE corner of INT with Hwy 43",Hanford,Kings,93230,36.30907,-119.59573,No,Public,Kings Waste and Recycling Authority,Kings Waste and Recycling Authority,1973,1997,Closed,77,,,,"2,250,385","2,250,385",1997,"90,015",1997,No,Not used,No,,Yes,0.241,2017,41,Yes,,0.241,2017,
,166,Happy Camp Solid Waste Disposal site,CA,,Chambers Drive,Happy Camp,Siskiyou,96039,41.78,-123.4,No,Private,Landfill Owner of Happy Camp Solid Waste Disposal site,"Siskiyou County, CA",,1996,Closed,3,,,,,"10,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,167,Harney Lane SLF,CA,,1/4 Mi E Of Jack Tone Road,Lodi,San Joaquin,95240,38.0994,-121.1364,No,Public,"San Joaquin County, CA","San Joaquin County, CA",1948,1992,Closed,97,,,,,"4,320,000",,"97,720",1991,Unknown,Not used,No,,Yes,,,50,Yes,,,,
,11340,Healdsburg Landfill,CA,,166 Alexander Valley Road,Healdsburg,Sonoma,95448,38.6508,-122.8685,No,Public,"Sonoma County, CA","Sonoma County, CA",1971,1989,Closed,,26,,,,"900,000",,,,Unknown,Not used,No,,Yes,0.39312,,40,Yes,1,0.39312,,
,169,Herlong Disposal Facility,CA,,County Road 328,Herlong,Lassen,96113,40.13669,-120.17019,No,Public,United States Bureau of Land Management,"Lassen Regional Solid Waste Management Authority, CA",1980,2000,Closed,20,,,,,"50,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,170,Hesperia Refuse Disposal Site,CA,,7 miles South on Hesperia Road,Hesperia,San Bernardino,92345,34.346,-117.349,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1964,1997,Closed,38,,,50,"852,000","639,000",,"49,560",1996,Unknown,Not used,No,,Yes,0.16,,,Yes,,0.16,,"9/10-18 wells, gas collection began in 2001, GCCS is a soil vapor extraction system located on 1/2 of the perimeter of the waste boundary."
1006079,171,Highgrove SLF,CA,,1420 Pigeon Pass Road,Highgrove,Riverside,92507,34.00667,-117.28667,No,Public,"Riverside County, CA","Riverside County, CA",1947,1998,Closed,71,64.1,,150,"3,493,000","3,493,000",1998,"211,690",1997,Unknown,Not used,No,0.883,Yes,0.4,2012,41.7,Yes,1,0.4,2012,"2010-47 wells, system capacity=350 acfm."
1006216,172,Highway 59 Landfill,CA,,"7040 N. Hwy 59
6 miles N. of Merced",Merced,Merced,95348,37.39389,-120.49778,No,Public,"Merced County Regional Waste Management Authority, CA","Merced County Regional Waste Management Authority, CA",1973,2060,Open,255,148,,,"26,160,242","6,856,961",2017,"308,106",2017,No,Not used,No,1.66,Yes,1.406,2017,35.7,Yes,,1.406,2017,"2012-59 wells, system capacity=2100 acfm."
,173,Hillside Solid Waste Disposal Site,CA,Hillside Class III Disposal Site,1 Sand Hill Road,Colma,San Mateo,94014,37.683,-122.444,No,Private,"Cypress-Amloc Land Company, Inc.","Cypress-Amloc Land Company, Inc.",1968,2007,Closed,428,,,,,"930,000",2002,"38,565",2004,Unknown,Not used,No,,Yes,,,50,Yes,,,,
,175,Holtville Disposal Site,CA,,,Holtville,Imperial,92250,32.816667,-115.383334,No,Public,United States Bureau of Land Management,"Imperial County, CA",,2012,Closed,25,,,,,"150,000",2004,48,2004,Unknown,Not used,No,,No,,,,No,,,,
,177,Hot Spa Cut & Fill Site,CA,,10466 Spa Road,Niland,Imperial,92257,33.41528,-115.67611,No,Public,"Imperial County, CA","Imperial County, CA",1954,2027,Open,40,,,,,"50,000",2004,335,2004,Unknown,Not used,No,,No,,,,No,,,,
,178,Hotelling Gulch Disposal Site,CA,,,Forks of Salmon,Siskiyou,96031,41.23833,-123.27389,No,Public,United States Department of Agriculture; United States Forest Service,"Siskiyou County, CA",,1995,Closed,3,,,,,"10,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,325,Imperial Waste Site,CA,Worthington Cut & Fill Site,1705 West Worthington Road,Imperial,Imperial,92251,32.84552,-115.68112,No,Public,Imperial Irrigation District,"Imperial County, CA",,2022,Open,60,,,,,"171,000",,"1,264",2004,Unknown,Not used,No,,No,,,,No,,,,
,180,Independence Disposal Site,CA,,End of Dump Road,Independence,Inyo,93526,36.7884,-118.17586,No,Public,Los Angeles Department of Water & Power (LADWP),Inyo County Integrated Waste Management,,2038,Open,40,,,,,"100,000",2004,525,2004,Unknown,Not used,No,,No,,,,No,,,,
,335,Industry Hills Sheraton Resort,CA,Industry Hills Recreation/Convention Center,#1 Industry Hills Parkway,Industry Hills,Los Angeles,91744,34.021,-117.92778,No,Public,"City of Industry, CA","City of Industry, CA",1960,1977,Closed,,155,120,,,"3,600,000",,0,,Unknown,Not used,No,,Yes,0.38,2003,50,Yes,,0.19,,2/06-Began flaring in 1974.
,241,"Intermountain Landfill, Inc.",CA,Packway Materials LF,,Hat Creek,Shasta,96013,33.433334,-114.75,No,Private,"Intermountain Landfill, Inc.","Intermountain Landfill, Inc.",,1993,Closed,4,,,,,"40,500",,0,,Unknown,Not used,No,,No,,,,No,,,,
,2066,Jamacha Landfill,CA,,,Jamacha,San Diego,,,,No,Public,"County of San Diego, CA","County of San Diego, CA",1960,1978,Closed,46,,,,,"1,800,000",,,,Unknown,Not used,No,,Yes,,,,Yes,1,0.331,,4/03-Custom Comb. Eng. Flare
1002886,181,John Smith Road Class III Landfill,CA,John Smith Road Solid Waste Disposal Site,2650 John Smith Road,Hollister,San Benito,95023,36.825,-121.324,No,Public,"San Benito County Public Works, CA","Waste Connections, Inc.",1968,2028,Open,44,33,,,"3,130,537","666,000",2002,"94,647",2008,Unknown,Not used,No,0.371,Yes,0.322,2012,42.8,Yes,,0.322,2012,"2012-35 wells, system capacity=3000 acfm."
1007128,182,Johnson Canyon SLF,CA,,31400 Johnson Canyon Road,Gonzales,Monterey,93926,36.53167,-121.40667,Yes,Public,"Salinas Valley Solid Waste Authority, CA","Salinas Valley Solid Waste Authority, CA",1976,2042,Open,80,69,,35,"13,836,696","2,881,475",2017,"208,221",2017,No,Not used,No,,Yes,1.51,2017,49.5,Yes,1,0.98,2018,"1/03-30 wells in place, enclosed flare.; 2010-47 wells, system capacity=800 acfm."
,183,Jolon Road SLF,CA,,,King City,Monterey,93930,36.16683,-121.13061,No,Private,Carmel Marina Corp,"Monterey County, CA",,1997,Closed,25,,,,,"169,200",,"3,860",1997,Unknown,Not used,No,,No,,,,No,,,,
1004011,184,Keller Canyon LF,CA,,901 Bailey Road,Pittsburg,Contra Costa,94565,38.00472,-121.93611,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1992,2077,Open,244,103.5,400,191,"74,562,762","18,764,867",2017,"1,123,208",2017,Yes,Several times per year,No,,Yes,5.652,2017,51.4,Yes,1,,,"9/10-112 wells over 80 acres, 1 enclosed flare.; 2012-82 wells, system capacity=2400 acfm."
,185,Kelly Gulch Solid Waste Disposal Site,CA,,,Sawyers Bar,Siskiyou,,41.32667,-123.154,No,Public,United States Department of Agriculture; United States Forest Service,"Siskiyou County, CA",,1994,Closed,1,,,,,"10,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,186,Kennedy Meadows Disposal Site,CA,,Goman Rd W Of Mountain Rd M-152,Johnsondale,Tulare,93207,35.991,-118.105,No,Public,United States Bureau of Land Management,"Tulare County, CA",,2002,Closed,10,,,,,"25,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,187,Kern Valley LF,CA,,,Kernville,Kern,93285,35.75,-118.433334,No,Public,United States Bureau of Land Management,"Kern County, CA",,1997,Closed,25,,,,,"276,507",,"16,700",1996,Unknown,Not used,No,,No,,,,No,,,,
1004037,265,Kiefer LF,CA,Sacramento County LF,12701 Kiefer Boulevard & Grant Line Road,Sloughhouse,Sacramento,95683,38.52099,-121.1989,No,Public,"Sacramento County, CA","Sacramento County, CA",1967,2064,Open,,295,,,"117,420,098","29,570,143",2017,"884,528",2017,Yes,Several times per year,No,14.4,Yes,10.612,2017,50.2,Yes,,2.416,2014,"11/04-150 wells.; 9/07-Initial GCCS installed in 1997, 200 wells now.; 2012-182 wells, system capacity=13500 acfm."
